Country ,Year,GDP,Inflation,Exchange Rate,Money Supply,Unemployment,FDI
Cambodia,2020,25872797892,-0.671856541,4092.783219,128.9449782,0.17,-3497632099
Timor-Leste,2020,2162619200,-19.15179184,1,40.31811463,2.791,712696166.4
Indonesia,2020,1.06E+12,-0.401651435,14582.20347,44.71787447,4.25,-14142473958
Lao PDR,2020,18981800705,5.034504125,9045.787834,98.65127796,3.862,-967706086.2
Malaysia,2020,3.37E+11,-0.818007729,4.203481949,137.0937139,4.54,-762778047.4
Myanmar,2020,79045695085,5.344109712,1381.619167,69.20464294,1.48,-1467228390
Philippines,2020,3.62E+11,1.650490185,49.624096,90.49053168,2.52,-3260102017
Singapore,2020,3.48E+11,-2.696454848,1.379741667,148.9481813,4.1,-40055034457
Thailand,2020,5.00E+11,-1.281944318,31.29367321,146.5948861,1.1,23543528522
Viet Nam,2020,3.47E+11,1.467478148,23208.36833,122.8589232,2.1,-15420000000
China,2020,1.47E+13,0.492493918,6.900767269,211.8916376,5,-99374807720
Japan,2020,5.06E+12,0.941449701,106.7745823,280.3703056,2.81,87533471953
"Korea, Rep.",2020,1.64E+12,1.563746857,1180.265833,164.8782634,3.93,26067500000
India,2020,2.67E+12,4.746548929,74.09956688,87.78353407,7.86,-53239697391
Uzbekistan,2020,60224701297,11.44242483,10054.26133,18.49864806,5.29,-1716938024
Qatar,2020,1.44E+11,-15.10042031,3.64,114.121316,0.14,5164010989
United States,2020,2.11E+13,1.304912071,1,110.6387647,8.05,1.48E+11
United Kingdom,2020,2.70E+12,5.083623429,0.779999577,163.8312341,4.472,-1.41E+11
France,2020,2.65E+12,2.839876196,2450.739405,98.65127796,8.01,9116589362
Russian Federation,2020,1.49E+12,0.898246027,72.10490833,69.9295269,5.59,-3631810000
Germany,2020,3.89E+12,1.872585648,2450.739405,98.65127796,3.86,-5888677179
Australia,2020,1.33E+12,2.113825441,1.453085118,137.1188881,6.46,-8025123712
