,Country Name,Year,GDP,Inflation,Exchange Rate,Money Supply,Unemployment,FDI
204,Lao PDR,2016,15912495369.0,3.022306443,8124.366756,98.6512779569836,2.883,-920111853.7
205,Malaysia,2016,301000000000.0,1.658259966,4.148300663,128.5841865,3.44,-3372772123.0
206,Myanmar,2016,63216143490.0,3.353781944,1234.869517,49.69604402,1.049,-3278096410.0
207,Philippines,2016,319000000000.0,1.280311738,47.49246386,74.05651792,2.7,-5882813657.0
208,Singapore,2016,319000000000.0,0.469483247,1.381546364,127.5285323,4.08,-25861166111.0
209,Thailand,2016,413000000000.0,2.63616762,35.29638333,125.3963428,0.69,9906454565.0
210,Viet Nam,2016,257000000000.0,1.819535928,21935.00083,104.580456,1.85,-11600000000.0
211,China,2016,11200000000000.0,1.407346027,6.644477829,207.6737579,4.56,41674876170.0
212,Japan,2016,5000000000000.0,0.419944376,108.7929,239.5913144,3.13,138000000000.0
213,"Korea, Rep.",2016,1500000000000.0,1.986038505,1160.7675,138.2977531,3.65,17785200000.0
214,India,2016,2290000000000.0,3.237974953,67.19531281,74.54926535,7.808,-39411278940.0
215,Uzbekistan,2016,86138288633.0,8.930368491,2965.253499,20.4467509,5.16,-1657069191.0
216,Qatar,2016,152000000000.0,-8.976699058,3.64,90.08567786,0.15,7128021978.0
217,United States,2016,18700000000000.0,1.00223548,1.0,89.99016908,4.87,-175000000000.0
218,United Kingdom,2016,2690000000000.0,1.964798274,0.740634464,140.2754507,4.81,-292000000000.0
219,France,2016,2470000000000.0,0.522559343,2450.739405212136,98.6512779569836,10.06,41841316017.0
220,Russian Federation,2016,1280000000000.0,2.844222698,67.05593333,59.44582853,5.56,-10224570000.0
221,Germany,2016,3470000000000.0,1.327752223,2450.739405212136,98.6512779569836,4.12,47174192459.0
222,Australia,2016,1210000000000.0,-0.655771897,1.345213976,118.2423153,5.71,-46078869964.0
223,Hungary,2016,129000000000.0,1.320471995,281.5233333,58.73423861,5.11,-2983727247.0
224,Ireland,2016,299000000000.0,0.583849083,2450.739405212136,98.6512779569836,8.37,-9219282218.0
225,Brunei Darussalam,2017,12128183904.0,4.953690289,1.380891164,86.68518694,9.32,-467927550.3
226,Cambodia,2017,22177200588.0,3.341042158,4050.579986,88.1764707,0.14,-2673226255.0
227,Timor-Leste,2017,1598208400.0,-0.151690878,1.0,51.48865442,4.191,-6715937.467
228,Indonesia,2017,1020000000000.0,4.292678122,13380.83388,39.87663393,3.78,-18502038861.0
229,Lao PDR,2017,17071162084.0,1.852096761,8244.843189,98.6512779569836,3.27,-1683379973.0
230,Malaysia,2017,319000000000.0,3.778960943,4.300440878,122.5342056,3.41,-3760088630.0
231,Myanmar,2017,66055090634.0,5.873408947,1360.358707,53.31036763,1.36,-4804272487.0
232,Philippines,2017,328000000000.0,2.320259947,50.40371979,75.41772137,2.55,-6951710900.0
233,Singapore,2017,343000000000.0,2.875152985,1.380925,122.3681377,4.2,-36941108315.0
234,Thailand,2017,456000000000.0,1.89994499,33.93981106,124.0447401,0.83,5896855332.0
235,Viet Nam,2017,281000000000.0,4.362920148,22370.08667,107.0262351,1.87,-13620000000.0
236,China,2017,12300000000000.0,4.232681976,6.758755086,201.406398,4.47,-27790987920.0
237,Japan,2017,4930000000000.0,-0.074349504,112.1661411,244.0197045,2.82,155000000000.0
238,"Korea, Rep.",2017,1620000000000.0,2.222781382,1131.000833,137.841483,3.65,16156500000.0
239,India,2017,2650000000000.0,3.969257928,65.12156865,74.14418936,7.728,-28875941053.0
240,Uzbekistan,2017,62081322740.0,19.06181471,5113.878946,23.06414787,5.83,-1790139194.0
241,Qatar,2017,161000000000.0,7.787569656,3.64,102.8873254,0.14,708791208.8
242,United States,2017,19500000000000.0,1.89961014,1.0,90.52383067,4.36,28590000000.0
243,United Kingdom,2017,2680000000000.0,1.856541047,0.776976682,145.286778,4.33,46685075527.0
244,France,2017,2600000000000.0,0.521577263,2450.739405212136,98.6512779569836,9.41,12702511140.0
245,Russian Federation,2017,1570000000000.0,5.349815088,58.34280119,59.52220741,5.21,8199590000.0
246,Germany,2017,3690000000000.0,1.503738989,2450.739405212136,98.6512779569836,3.75,36124571462.0
247,Australia,2017,1330000000000.0,3.651232809,1.304758077,116.5335722,5.59,-38193755825.0
248,Hungary,2017,143000000000.0,4.029705051,274.4333333,58.36254595,4.16,-2376170201.0
249,Ireland,2017,337000000000.0,1.251083468,2450.739405212136,98.6512779569836,6.71,-55346188076.0
250,Brunei Darussalam,2018,13566937674.0,9.215863133,1.348918565,81.58004432,8.7,-516202620.6
251,Cambodia,2018,24571753583.0,3.111821367,4051.1669,100.6993825,0.128,-3088669837.0
252,Timor-Leste,2018,1566157200.0,-1.321802318,1.0,54.18272077,3.69,-47925664.57
