Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Indonesia,IDN,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,38.30992109,38.19668391,36.00171842,36.73800199,38.38928827,39.07547414,39.48385024,39.46442005,40.35709044,39.87663393,38.81758144,38.76024384,44.71787447,46.36034752,43.5359828
Indonesia,IDN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,18.14975125,8.274752432,15.26429366,7.465943034,3.753878753,4.965990291,5.443174549,3.98024266,2.438924087,4.292678122,3.818323569,1.5984885,-0.401651435,6.003421337,9.567844361
Indonesia,IDN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.21,6.11,5.61,5.15,4.47,4.34,4.05,4.51,4.3,3.78,4.39,3.59,4.25,3.83,3.46
Indonesia,IDN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-3418723399,-2628247483,-11106333135,-11528394762,-13716225988,-12170055179,-14733198283,-10704478317,-16135916019,-18502038861,-12510610514,-20531070566,-14142473958,-17286354128,-14816422520
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,5446434032,5836138127,7131773633,8750107402,10192848926,11983252627,13279248479,14426381187,15912495369,17071162084,18141651381,18740559554,18981800705,18827148529,15468785204
Lao PDR,LAO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,8740.181403,8511.351163,8254.16303,8029.262555,8006.582032,7833.22999,8042.42157,8127.610598,8124.366756,8244.843189,8401.334766,8679.409093,9045.787834,9697.915789,14035.22669
Lao PDR,LAO,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,24.29257659,30.82417473,36.18783383,,,,,,,,,,,,
Lao PDR,LAO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,8.863450638,-2.932073532,9.196571111,10.4687176,7.528859305,6.473972083,5.726559182,2.348496007,3.022306443,1.852096761,1.919889194,1.197423921,5.034504125,3.713448367,15.77394592
Lao PDR,LAO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.943,0.834,0.71,1.059,1.404,1.762,2.123,2.496,2.883,3.27,3.308,3.364,3.862,4.15,3.819
Lao PDR,LAO,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-227770000,-318598209.1,-278805903.1,-300743507.1,-634614172.4,-709968685.7,-860588563.8,-1038062947,-920111853.7,-1683379973,-1358019506,-755524124.2,-967706086.2,-1071913716,-635807276
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,2.31E+11,2.02E+11,2.55E+11,2.98E+11,3.14E+11,3.23E+11,3.38E+11,3.01E+11,3.01E+11,3.19E+11,3.59E+11,3.65E+11,3.37E+11,3.74E+11,4.07E+11
Malaysia,MYS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.335833333,3.524502911,3.221086915,3.060003011,3.088800867,3.15090855,3.272859746,3.905500263,4.148300663,4.300440878,4.035130137,4.142469736,4.203481949,4.143297598,4.401076345
Malaysia,MYS,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,119.5902405,139.1656209,129.6446486,133.8905966,136.8038681,140.092354,137.1023286,132.8127793,128.5841865,122.5342056,125.0778647,122.9070528,137.0937139,132.5307572,119.173065
Malaysia,MYS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,10.3889004,-5.992201556,7.266845934,5.41240809,0.999932303,0.174474481,2.467466784,1.218055734,1.658259966,3.778960943,0.624674675,0.071826909,-0.818007729,5.707515694,6.445753155
Malaysia,MYS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.32,3.66,3.39,3.05,3.1,3.16,2.88,3.1,3.44,3.41,3.3,3.26,4.54,4.083,3.629
Malaysia,MYS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,7827500376,6626128852,4463611679,2988958790,8001103526,2111932222,5440442809,684808753.5,-3372772123,-3760088630,-2539145749,-1626970695,-762778047.4,-7460181234,-3967084186
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,31862554102,36906181381,49540813342,59977326086,59937796642,60269732883,65446196920,59687411769,63216143490,66055090634,67855845007,75072038086,79045695085,66262813093,62263466264
Myanmar,MMR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,5.44145,5.576366667,5.634883333,5.444108333,640.6534167,933.5704564,984.3457476,1162.615329,1234.869517,1360.358707,1429.807975,1518.255117,1381.619167,,
Myanmar,MMR,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,17.22931406,19.41287369,23.57207034,26.44355553,31.66735296,36.77456379,39.53971476,46.37251015,49.69604402,53.31036763,54.5606988,56.10760612,69.20464294,,
